2026-07-02T09:00:19+05:30 | API | service=api-gateway | user=trainer | ip=10.0.0.5 | GET /api/reports/export | status=204 | rt=262ms | risk=safe:10 | msg="GET /api/reports/export 204 in 262ms (next.js: 49ms, application-code: 168ms)"
2026-07-02T09:00:34+05:30 | WEB | service=nextjs-app | user=guest | ip=10.0.0.5 | GET /dashboard | status=200 | rt=279ms | risk=safe:3 | msg="GET /dashboard 200 in 279ms (next.js: 5ms, application-code: 271ms)"
2026-07-02T09:01:06+05:30 | WEB | service=nextjs-app | user=guest | ip=10.0.0.8 | GET /admin | status=201 | rt=185ms | risk=safe:5 | msg="GET /admin 201 in 185ms (next.js: 120ms, application-code: 149ms)"
2026-07-02T09:01:36+05:30 | WEB | service=api-gateway | user=manager | ip=192.168.1.12 | GET /courses | status=301 | rt=334ms | risk=safe:22 | msg="GET /courses 301 in 334ms (next.js: 6ms, application-code: 278ms)"
2026-07-02T09:02:27+05:30 | WEB | service=auth-service | user=john | ip=10.0.0.8 | GET /admin | status=201 | rt=67ms | risk=safe:19 | msg="GET /admin 201 in 67ms (next.js: 80ms, application-code: 49ms)"
2026-07-02T09:03:28+05:30 | WEB | service=auth-service | user=admin | ip=172.16.0.21 | GET /SIEM-Learning-path | status=200 | rt=410ms | risk=safe:3 | msg="GET /SIEM-Learning-path 200 in 410ms (next.js: 89ms, application-code: 351ms)"
2026-07-02T09:04:13+05:30 | API | service=auth-service | user=finance_user | ip=10.0.0.8 | PATCH /api/payment | status=304 | rt=607ms | risk=safe:14 | msg="PATCH /api/payment 304 in 607ms (next.js: 60ms, application-code: 540ms)"
2026-07-02T09:04:45+05:30 | WEB | service=auth-service | user=finance_user | ip=172.16.0.33 | GET /billing | status=200 | rt=451ms | risk=safe:22 | msg="GET /billing 200 in 451ms (next.js: 7ms, application-code: 371ms)"
2026-07-02T09:04:58+05:30 | API | service=auth-service | user=student01 | ip=192.168.1.11 | PATCH /api/upload | status=200 | rt=149ms | risk=safe:1 | msg="PATCH /api/upload 200 in 149ms (next.js: 44ms, application-code: 47ms)"
2026-07-02T09:06:11+05:30 | API | service=auth-service | user=john | ip=192.168.1.10 | GET /api/get-token | status=200 | rt=415ms | risk=safe:2 | msg="GET /api/get-token 200 in 415ms (next.js: 69ms, application-code: 375ms)"
2026-07-02T09:07:30+05:30 | WEB | service=nextjs-app | user=student01 | ip=192.168.1.10 | GET /learning-paths | status=200 | rt=567ms | risk=safe:9 | msg="GET /learning-paths 200 in 567ms (next.js: 19ms, application-code: 461ms)"
